角度: 0 度, 夹角: , 177.56, 表面角度:, -89.74
角度: 1 度, 夹角: , 178.51, 表面角度:, -88.80
角度: 2 度, 夹角: , 179.44, 表面角度:, -87.84
角度: 3 度, 夹角: , 179.50, 表面角度:, -86.89
角度: 4 度, 夹角: , 178.58, 表面角度:, -85.93
角度: 5 度, 夹角: , 177.64, 表面角度:, -84.98
角度: 6 度, 夹角: , 176.69, 表面角度:, -84.03
角度: 7 度, 夹角: , 175.75, 表面角度:, -83.09
角度: 8 度, 夹角: , 174.81, 表面角度:, -82.15
角度: 9 度, 夹角: , 173.88, 表面角度:, -81.22
角度: 10 度, 夹角: , 172.96, 表面角度:, -80.29
角度: 11 度, 夹角: , 172.04, 表面角度:, -79.38
角度: 12 度, 夹角: , 171.13, 表面角度:, -78.47
角度: 13 度, 夹角: , 170.24, 表面角度:, -77.57
角度: 14 度, 夹角: , 169.35, 表面角度:, -76.68
角度: 15 度, 夹角: , 168.47, 表面角度:, -75.80
角度: 16 度, 夹角: , 167.60, 表面角度:, -74.93
角度: 17 度, 夹角: , 166.74, 表面角度:, -74.08
角度: 18 度, 夹角: , 165.90, 表面角度:, -73.23
角度: 19 度, 夹角: , 165.07, 表面角度:, -72.40
角度: 20 度, 夹角: , 164.25, 表面角度:, -71.58
角度: 21 度, 夹角: , 163.44, 表面角度:, -70.77
角度: 22 度, 夹角: , 162.64, 表面角度:, -69.98
角度: 23 度, 夹角: , 161.86, 表面角度:, -69.20
角度: 24 度, 夹角: , 161.09, 表面角度:, -68.43
角度: 25 度, 夹角: , 160.34, 表面角度:, -67.68
角度: 26 度, 夹角: , 159.60, 表面角度:, -66.94
角度: 27 度, 夹角: , 158.88, 表面角度:, -66.21
角度: 28 度, 夹角: , 158.17, 表面角度:, -65.50
角度: 29 度, 夹角: , 157.47, 表面角度:, -64.80
角度: 30 度, 夹角: , 156.79, 表面角度:, -64.12
角度: 31 度, 夹角: , 156.12, 表面角度:, -63.45
角度: 32 度, 夹角: , 155.47, 表面角度:, -62.80
角度: 33 度, 夹角: , 154.83, 表面角度:, -62.16
角度: 34 度, 夹角: , 154.20, 表面角度:, -61.54
角度: 35 度, 夹角: , 153.59, 表面角度:, -60.93
角度: 36 度, 夹角: , 153.00, 表面角度:, -60.33
角度: 37 度, 夹角: , 152.42, 表面角度:, -59.75
角度: 38 度, 夹角: , 151.85, 表面角度:, -59.18
角度: 39 度, 夹角: , 151.30, 表面角度:, -58.63
角度: 40 度, 夹角: , 150.76, 表面角度:, -58.09
角度: 41 度, 夹角: , 150.24, 表面角度:, -57.57
角度: 42 度, 夹角: , 149.73, 表面角度:, -57.06
角度: 43 度, 夹角: , 149.23, 表面角度:, -56.56
角度: 44 度, 夹角: , 148.74, 表面角度:, -56.08
角度: 45 度, 夹角: , 148.27, 表面角度:, -55.61
角度: 46 度, 夹角: , 147.82, 表面角度:, -55.15
角度: 47 度, 夹角: , 147.37, 表面角度:, -54.71
角度: 48 度, 夹角: , 146.94, 表面角度:, -54.28
角度: 49 度, 夹角: , 146.52, 表面角度:, -53.86
角度: 50 度, 夹角: , 146.12, 表面角度:, -53.45
角度: 51 度, 夹角: , 145.73, 表面角度:, -53.06
角度: 52 度, 夹角: , 145.35, 表面角度:, -52.68
角度: 53 度, 夹角: , 144.98, 表面角度:, -52.31
角度: 54 度, 夹角: , 144.62, 表面角度:, -51.95
角度: 55 度, 夹角: , 144.28, 表面角度:, -51.61
角度: 56 度, 夹角: , 143.94, 表面角度:, -51.28
角度: 57 度, 夹角: , 143.62, 表面角度:, -50.95
角度: 58 度, 夹角: , 143.31, 表面角度:, -50.64
角度: 59 度, 夹角: , 143.01, 表面角度:, -50.35
角度: 60 度, 夹角: , 142.72, 表面角度:, -50.06
