角度: 0 度, 夹角: , 179.23, 表面角度:, -12.93
角度: 1 度, 夹角: , 179.29, 表面角度:, -12.97
角度: 2 度, 夹角: , 179.36, 表面角度:, -13.02
角度: 3 度, 夹角: , 179.43, 表面角度:, -13.08
角度: 4 度, 夹角: , 179.50, 表面角度:, -13.14
角度: 5 度, 夹角: , 179.57, 表面角度:, -13.20
角度: 6 度, 夹角: , 179.64, 表面角度:, -13.27
角度: 7 度, 夹角: , 179.70, 表面角度:, -13.34
角度: 8 度, 夹角: , 179.74, 表面角度:, -13.41
角度: 9 度, 夹角: , 179.76, 表面角度:, -13.49
角度: 10 度, 夹角: , 179.73, 表面角度:, -13.57
角度: 11 度, 夹角: , 179.68, 表面角度:, -13.66
角度: 12 度, 夹角: , 179.60, 表面角度:, -13.75
角度: 13 度, 夹角: , 179.51, 表面角度:, -13.85
角度: 14 度, 夹角: , 179.40, 表面角度:, -13.95
角度: 15 度, 夹角: , 179.29, 表面角度:, -14.05
角度: 16 度, 夹角: , 179.17, 表面角度:, -14.16
角度: 17 度, 夹角: , 179.05, 表面角度:, -14.28
角度: 18 度, 夹角: , 178.92, 表面角度:, -14.40
角度: 19 度, 夹角: , 178.78, 表面角度:, -14.52
角度: 20 度, 夹角: , 178.64, 表面角度:, -14.65
角度: 21 度, 夹角: , 178.50, 表面角度:, -14.79
角度: 22 度, 夹角: , 178.34, 表面角度:, -14.93
角度: 23 度, 夹角: , 178.19, 表面角度:, -15.08
角度: 24 度, 夹角: , 178.02, 表面角度:, -15.23
角度: 25 度, 夹角: , 177.85, 表面角度:, -15.39
角度: 26 度, 夹角: , 177.67, 表面角度:, -15.56
角度: 27 度, 夹角: , 177.49, 表面角度:, -15.74
角度: 28 度, 夹角: , 177.30, 表面角度:, -15.92
角度: 29 度, 夹角: , 177.10, 表面角度:, -16.11
角度: 30 度, 夹角: , 176.89, 表面角度:, -16.30
角度: 31 度, 夹角: , 176.68, 表面角度:, -16.51
角度: 32 度, 夹角: , 176.45, 表面角度:, -16.72
角度: 33 度, 夹角: , 176.22, 表面角度:, -16.94
角度: 34 度, 夹角: , 175.98, 表面角度:, -17.17
角度: 35 度, 夹角: , 175.73, 表面角度:, -17.41
角度: 36 度, 夹角: , 175.47, 表面角度:, -17.66
角度: 37 度, 夹角: , 175.20, 表面角度:, -17.92
角度: 38 度, 夹角: , 174.92, 表面角度:, -18.19
角度: 39 度, 夹角: , 174.63, 表面角度:, -18.47
角度: 40 度, 夹角: , 174.32, 表面角度:, -18.76
角度: 41 度, 夹角: , 174.00, 表面角度:, -19.07
角度: 42 度, 夹角: , 173.67, 表面角度:, -19.39
角度: 43 度, 夹角: , 173.33, 表面角度:, -19.72
角度: 44 度, 夹角: , 172.97, 表面角度:, -20.07
角度: 45 度, 夹角: , 172.59, 表面角度:, -20.44
角度: 46 度, 夹角: , 172.20, 表面角度:, -20.82
角度: 47 度, 夹角: , 171.79, 表面角度:, -21.21
角度: 48 度, 夹角: , 171.36, 表面角度:, -21.63
角度: 49 度, 夹角: , 170.91, 表面角度:, -22.07
角度: 50 度, 夹角: , 170.44, 表面角度:, -22.52
角度: 51 度, 夹角: , 169.95, 表面角度:, -23.00
角度: 52 度, 夹角: , 169.44, 表面角度:, -23.50
角度: 53 度, 夹角: , 168.90, 表面角度:, -24.02
角度: 54 度, 夹角: , 168.33, 表面角度:, -24.58
角度: 55 度, 夹角: , 167.74, 表面角度:, -25.16
角度: 56 度, 夹角: , 167.11, 表面角度:, -25.77
角度: 57 度, 夹角: , 166.45, 表面角度:, -26.41
角度: 58 度, 夹角: , 165.76, 表面角度:, -27.08
角度: 59 度, 夹角: , 165.03, 表面角度:, -27.79
角度: 60 度, 夹角: , 164.26, 表面角度:, -28.55
